         Wang 	         Zion 	     Jr.Staff 	   ND 	 40 	47000 	       Master 	  9
        Molnar 	     Vytautas 	     Jr.Staff 	   CT 	 73 	37000 	     Bachelor 	  4
          Racz 	      Vojtech 	        Staff 	   NY 	 26 	77000 	       Master 	  8
    Corrazzari 	      Viviana 	     Jr.Staff 	   WY 	 77 	42000 	    Associate 	  8
   Servergnini 	      Viviana 	       Intern 	   ND 	 60 	14000 	         H.S. 	  1
     Venturini 	      Vittore 	     Jr.Staff 	   WY 	 59 	43000 	    Associate 	  5
    Rebagliati 	      Vittore 	       Intern 	   AL 	 57 	20000 	    Associate 	  1
     Ardizzone 	         Vito 	        Staff 	   ND 	 66 	73000 	       Master 	  2
         Scott 	     Virginia 	        Staff 	   CA 	 45 	103000 	       Master 	  7
       Edwards 	     Virginia 	        Staff 	   MN 	 78 	70000 	       Master 	  5
       Scaduto 	     Virginia 	        Staff 	   MT 	 45 	87000 	       Master 	  6
           Lee 	     Virginia 	       Intern 	   CO 	 64 	24000 	       Master 	  1
          Azar 	     Violette 	        Staff 	   WY 	 73 	89000 	        Ph.D. 	 10
        Dowell 	       Violet 	     Jr.Staff 	   CA 	 76 	51000 	     Bachelor 	  4
          Mays 	      Vincent 	       Intern 	   MD 	 53 	25000 	    Associate 	  1
         Lewis 	     Victoria 	        Staff 	   CA 	 25 	65000 	       Master 	  7
         Baker 	     Victoria 	        Staff 	   HI 	 39 	102000 	     Bachelor 	  9
         Peden 	        Vesta 	        Staff 	   MD 	 34 	103000 	       Master 	  7
     Venturini 	        Vesta 	       Intern 	   KS 	 56 	28000 	       Master 	  1
      Jacobsen 	        Venla 	     Jr.Staff 	   NM 	 43 	39000 	     Bachelor 	  4
        Donini 	       Venere 	     Jr.Staff 	   MA 	 35 	57000 	     Bachelor 	 11
       Johnson 	       Vaughn 	        Staff 	   NM 	 44 	77000 	       Master 	  5
        Martin 	       Vaughn 	       Intern 	   ID 	 76 	20000 	    Associate 	  2
      Cardenas 	      Vanessa 	     Jr.Staff 	   NY 	 24 	44000 	    Associate 	  7
      Clayborn 	      Valorie 	        Staff 	   PA 	 55 	68000 	       Master 	  4
       Jarrell 	      Valerie 	       Intern 	   PA 	 61 	24000 	       Master 	  1
       Barnard 	      Valeria 	     Jr.Staff 	   NV 	 35 	54000 	     Bachelor 	  7
        Rowley 	      Valeria 	       Intern 	   CA 	 27 	31000 	     Bachelor 	  1
       Pogiali 	    Valentino 	     Jr.Staff 	   TX 	 22 	55000 	     Bachelor 	  6
       Sprague 	    Valentina 	        Staff 	   NY 	 23 	67000 	       Master 	  4
       Avraham 	          Uri 	        Staff 	   NY 	 45 	104000 	       Master 	  6
         Yosef 	          Uri 	        Staff 	   MA 	 28 	79000 	       Master 	  5
         Gabai 	          Uri 	        Staff 	   CO 	 26 	89000 	        Ph.D. 	  8
          Levi 	          Uri 	        Staff 	   NV 	 58 	79000 	     Bachelor 	  4
           Tal 	          Uri 	        Staff 	   CA 	 73 	97000 	       Master 	 10
  Lambruschini 	       Urania 	     Jr.Staff 	   IL 	 64 	57000 	     Bachelor 	  2
       Merizzi 	       Ulrico 	     Director 	   UT 	 38 	216000 	        Ph.D. 	 15
     Scarlatti 	          Ugo 	     Jr.Staff 	   ND 	 77 	52000 	     Bachelor 	  9
       Esparza 	        Tyson 	     Jr.Staff 	   NH 	 37 	53000 	     Bachelor 	  7
      Whitmore 	        Tyler 	        Staff 	   ND 	 51 	105000 	       Master 	  6
         Healy 	           Ty 	        Staff 	   NM 	 41 	106000 	       Master 	  8
           May 	           Ty 	       Intern 	   UT 	 46 	28000 	       Master 	  1
   Clinkscales 	       Twanna 	       Intern 	   DE 	 48 	22000 	     Bachelor 	  3
       Workman 	       Tucker 	       Intern 	   WI 	 68 	34000 	    Associate 	  1
       Kimball 	       Tucker 	        Staff 	   NM 	 51 	107000 	        Ph.D. 	 10
          Mack 	       Tucker 	     Jr.Staff 	   CA 	 33 	40000 	     Bachelor 	 10
         Jones 	        Truly 	        Staff 	   WI 	 37 	94000 	       Master 	  4
         Jolly 	         Troy 	     Jr.Staff 	   NY 	 61 	38000 	    Associate 	  5
       Jansson 	        Trond 	       Intern 	   NC 	 26 	13000 	         H.S. 	  1
     Johansson 	        Trond 	        Staff 	   SC 	 38 	87000 	        Ph.D. 	  2
      Spangler 	      Tristen 	     Director 	   WA 	 35 	218000 	       Master 	 12
      Lockhart 	      Tristen 	        Staff 	   MA 	 62 	71000 	       Master 	  9
           Roe 	      Tristan 	      Manager 	   KS 	 59 	150000 	        Ph.D. 	 15
     Yarbrough 	      Tristan 	     Jr.Staff 	   NY 	 76 	52000 	     Bachelor 	 10
        Dorsey 	      Trinity 	       Intern 	   NY 	 19 	27000 	       Master 	  2
       Donadio 	     Trinidad 	        Staff 	   CO 	 73 	75000 	       Master 	  6
         Garza 	      Trenton 	        Staff 	   MA 	 72 	89000 	       Master 	  7
        Arroyo 	      Trenton 	        Staff 	   ND 	 31 	69000 	       Master 	  3
         Byrne 	      Trenton 	     Jr.Staff 	   IA 	 46 	45000 	    Associate 	  3
        Corbin 	      Trenton 	       Intern 	   MI 	 48 	19000 	     Bachelor 	  1
      Boudreau 	       Travis 	     Jr.Staff 	   NM 	 22 	57000 	     Bachelor 	  6
         Quade 	        Trang 	        Staff 	   GA 	 48 	84000 	       Master 	  4
     Mccaffrey 	         Tran 	     Jr.Staff 	   CT 	 22 	50000 	     Bachelor 	  3
          Ward 	       Tracey 	        Staff 	   NY 	 35 	68000 	       Master 	  8
      Williams 	       Tracey 	     Jr.Staff 	   NY 	 65 	46000 	       Master 	  5
          Wood 	       Tracey 	       Intern 	   WY 	 37 	16000 	     Bachelor 	  1
         Davis 	       Tracey 	     Jr.Staff 	   UT 	 52 	44000 	    Associate 	 11
        Clarke 	       Tracey 	        Staff 	   NY 	 37 	70000 	       Master 	  7
         Patel 	       Topper 	     Jr.Staff 	   PA 	 45 	48000 	       Master 	  3
           Lee 	       Topper 	     Jr.Staff 	   SD 	 70 	55000 	     Bachelor 	  9
        Prince 	         Tony 	     Jr.Staff 	   VA 	 55 	59000 	     Bachelor 	  6
          Kale 	        Tommy 	        Staff 	   NY 	 50 	73000 	       Master 	  7
         Fodor 	       Tomasz 	       Intern 	   MN 	 64 	29000 	     Bachelor 	  1
        Kucera 	       Tomasz 	     Jr.Staff 	   MD 	 45 	59000 	     Bachelor 	  3
        Ivanov 	       Tomasz 	        Staff 	   NY 	 56 	84000 	       Master 	  2
        Koppel 	        Tomas 	     Jr.Staff 	   ID 	 61 	42000 	    Associate 	  8
         Szucs 	        Tomas 	       Intern 	   CA 	 63 	35000 	     Bachelor 	  1
        Wolery 	          Tom 	       Intern 	   CA 	 53 	21000 	    Associate 	  1
    Gustafsson 	       Tobias 	        Staff 	   NY 	 73 	83000 	     Bachelor 	  7
       Wegener 	       Tobias 	        Staff 	   GA 	 74 	80000 	       Master 	  6
    Wiesenthal 	       Tobias 	     Sr.Staff 	   AR 	 22 	143000 	        Ph.D. 	  4
    Wannamaker 	       Timika 	       Intern 	   MA 	 43 	15000 	     Bachelor 	  1
        Spitzy 	          Tim 	       Intern 	   MD 	 65 	34000 	     Bachelor 	  1
          Haas 	          Tim 	        Staff 	   ND 	 75 	106000 	       Master 	  3
         Robel 	          Tim 	     Jr.Staff 	   IA 	 42 	44000 	    Associate 	  2
        Parker 	        Tilly 	       Intern 	   NY 	 76 	32000 	     Bachelor 	  1
         Evans 	        Tilly 	        Staff 	   AL 	 47 	93000 	       Master 	  7
          King 	        Tilly 	     Jr.Staff 	   PA 	 76 	40000 	    Associate 	  5
         Allen 	        Tilly 	     Director 	   AR 	 63 	220000 	       Master 	 19
         Jones 	      Tiffany 	       Intern 	   MT 	 78 	23000 	    Associate 	  1
         Jones 	      Tiffany 	        Staff 	   GA 	 24 	67000 	       Master 	  2
         Smith 	       Thomas 	        Staff 	   MD 	 22 	62000 	     Bachelor 	  8
          King 	       Thomas 	     Jr.Staff 	   PA 	 46 	50000 	         H.S. 	  1
           Chu 	       Thomas 	     Jr.Staff 	   AR 	 27 	39000 	     Bachelor 	  4
          Racz 	      Theresa 	     Jr.Staff 	   MA 	 32 	55000 	     Bachelor 	  7
        Nemeth 	      Theresa 	     Jr.Staff 	   GA 	 22 	51000 	     Bachelor 	 10
           Oja 	      Theresa 	       Intern 	   UT 	 59 	28000 	       Master 	  1
       Pokorny 	      Theresa 	     Jr.Staff 	   NY 	 22 	47000 	       Master 	  6
       Wagoner 	     Theodore 	       Intern 	   PA 	 21 	24000 	       Master 	  2
        Olsson 	         Thea 	        Staff 	   MT 	 41 	109000 	       Master 	  7
        Jensen 	         Thea 	        Staff 	   MA 	 44 	71000 	       Master 	 10
       Madonna 	       Terisa 	        Staff 	   TX 	 62 	94000 	       Master 	  9
         Nemec 	       Tereza 	       Intern 	   MD 	 73 	21000 	    Associate 	  1
         Nemec 	       Tereza 	        Staff 	   NC 	 25 	105000 	     Bachelor 	  3
         Novak 	       Tereza 	       Intern 	   NV 	 74 	34000 	     Bachelor 	  2
      Vittorio 	       Teresa 	       Intern 	   WA 	 28 	21000 	    Associate 	  1
      Laterano 	       Teresa 	        Staff 	   KS 	 73 	107000 	       Master 	  7
     Giacomini 	     Teodosia 	        Staff 	   GA 	 76 	103000 	       Master 	  2
         Ghini 	      Teodato 	       Intern 	   CA 	 63 	14000 	         H.S. 	  1
     Matsunaga 	        Telma 	     Jr.Staff 	   AZ 	 58 	53000 	     Bachelor 	  8
           Chu 	       Taylor 	     Jr.Staff 	   UT 	 19 	51000 	     Bachelor 	  7
      Cornwell 	       Taylor 	        Staff 	   TX 	 33 	108000 	        Ph.D. 	  7
         Swift 	       Taylor 	       Intern 	   IA 	 67 	27000 	       Master 	  1
         Smith 	       Taylor 	        Staff 	   NV 	 55 	96000 	       Master 	  5
         Davis 	      Tatiana 	       Intern 	   NM 	 59 	19000 	    Associate 	  1
          Mize 	       Tanner 	        Staff 	   PA 	 32 	106000 	     Bachelor 	  4
      Waggoner 	       Tanner 	        Staff 	   NH 	 62 	67000 	       Master 	  5
        Hanley 	       Tanner 	        Staff 	   AZ 	 44 	101000 	        Ph.D. 	 11
        Childs 	        Tanja 	        Staff 	   AZ 	 37 	72000 	       Master 	  8
         Kolar 	      Tanisha 	     Jr.Staff 	   TX 	 62 	52000 	     Bachelor 	  3
         Hauff 	        Tandy 	        Staff 	   MD 	 48 	95000 	       Master 	  3
         Davis 	       Tambre 	     Sr.Staff 	   MA 	 49 	110000 	       Master 	 11
      Mitchell 	       Tambre 	     Jr.Staff 	   MA 	 70 	41000 	         H.S. 	  1
         Green 	       Tambre 	       Intern 	   AR 	 24 	30000 	    Associate 	  1
         Brown 	        Tamar 	        Staff 	   WA 	 62 	77000 	       Master 	  9
         Segel 	        Tamar 	        Staff 	   PA 	 48 	100000 	       Master 	  2
     Canigiani 	       Taddeo 	     Jr.Staff 	   CA 	 64 	52000 	     Bachelor 	  4
         Evans 	      Tabitha 	        Staff 	   NY 	 28 	74000 	       Master 	  5
        Thomas 	     Synclair 	     Jr.Staff 	   PA 	 71 	50000 	     Bachelor 	  7
        Edmond 	       Sydney 	       Intern 	   CO 	 44 	31000 	     Bachelor 	  1
        Gurley 	       Sydney 	       Intern 	   MD 	 31 	33000 	     Bachelor 	  1
        Thomas 	     Susannah 	     Jr.Staff 	   NV 	 72 	38000 	    Associate 	 10
          King 	     Susannah 	       Intern 	   NM 	 31 	26000 	     Bachelor 	  1
          Ward 	     Susannah 	     Jr.Staff 	   MN 	 26 	50000 	     Bachelor 	  4
        Davies 	     Susannah 	        Staff 	   CA 	 77 	101000 	       Master 	 11
        Carver 	       Summer 	        Staff 	   NV 	 51 	79000 	       Master 	  9
    Vandervort 	      Stewart 	        Staff 	   NV 	 32 	105000 	       Master 	  8
        Walker 	      Stephen 	     Director 	   NY 	 58 	217000 	       Master 	 21
        Farkas 	    Stephanie 	       Intern 	   NY 	 19 	22000 	     Bachelor 	  1
          Dyer 	       Stella 	     Jr.Staff 	   KS 	 55 	49000 	       Master 	  7
        Simons 	       Stella 	     Jr.Staff 	   GA 	 76 	39000 	     Bachelor 	  6
       Baldato 	       Stella 	        Staff 	   DE 	 18 	73000 	       Master 	 10
        Potter 	       Stella 	       Intern 	   MA 	 27 	14000 	         H.S. 	  1
        Pavoni 	      Stefano 	       Intern 	   CO 	 38 	26000 	         H.S. 	  1
          Magi 	    Stanislaw 	        Staff 	   NY 	 71 	104000 	       Master 	  9
       Edwards 	        Stacy 	        Staff 	   GA 	 68 	91000 	       Master 	  6
         Clark 	        Stacy 	        Staff 	   VA 	 38 	91000 	       Master 	  2
      Harrison 	        Stacy 	        Staff 	   AL 	 57 	67000 	       Master 	  2
      Thompson 	        Stacy 	       Intern 	   NM 	 70 	12000 	         H.S. 	  1
        Thomas 	        Stacy 	        Staff 	   MD 	 47 	81000 	     Bachelor 	  7
      Calloway 	      Spencer 	        Staff 	   VT 	 64 	75000 	       Master 	  9
         Otero 	      Spencer 	        Staff 	   MT 	 20 	99000 	       Master 	  4
         Woody 	       Sophie 	     Jr.Staff 	   WI 	 53 	48000 	       Master 	 10
     Arrington 	       Sophia 	       Intern 	   MA 	 31 	18000 	    Associate 	  1
          Hall 	       Sophia 	        Staff 	   AZ 	 47 	78000 	       Master 	  2
       Hagwood 	          Son 	       Intern 	   IA 	 25 	33000 	         H.S. 	  1
          Farr 	        Sofia 	        Staff 	   NY 	 48 	98000 	        Ph.D. 	  4
          Haan 	       Slyvia 	        Staff 	   CA 	 23 	63000 	     Bachelor 	  8
        Porter 	       Skylar 	       Intern 	   NY 	 77 	12000 	         H.S. 	  2
        Alicea 	       Skylar 	       Intern 	   UT 	 75 	23000 	    Associate 	  1
     Stallings 	       Skylar 	       Intern 	   NJ 	 26 	29000 	     Bachelor 	  1
        Brando 	       Silvio 	        Staff 	   WI 	 41 	81000 	     Bachelor 	  2
    Pennington 	        Silva 	     Sr.Staff 	   KS 	 37 	129000 	       Master 	 14
     Velazquez 	        Silas 	        Staff 	   GA 	 44 	61000 	     Bachelor 	  8
       Persson 	        Siiri 	        Staff 	   AR 	 39 	76000 	       Master 	  6
      Andersen 	        Siiri 	     Jr.Staff 	   CO 	 32 	52000 	     Bachelor 	  9
      Carlsson 	        Siiri 	       Intern 	   MT 	 65 	18000 	         H.S. 	  1
      Virtanen 	        Siiri 	     Jr.Staff 	   CA 	 62 	56000 	       Master 	  2
         Hagen 	        Siiri 	     Jr.Staff 	   NY 	 58 	52000 	     Bachelor 	  6
         Guidi 	     Sigfrido 	        Staff 	   KS 	 73 	107000 	        Ph.D. 	 11
      Calzaghe 	     Sigfrido 	        Staff 	   PA 	 58 	85000 	         H.S. 	  2
      Mitchell 	      Shirlyn 	       Intern 	   NY 	 38 	26000 	     Bachelor 	  1
       Edwards 	      Shirlyn 	        Staff 	   NV 	 25 	75000 	       Master 	  4
        Peretz 	        Shira 	        Staff 	   OR 	 49 	82000 	       Master 	 10
         Young 	      Sherman 	     Jr.Staff 	   AL 	 49 	54000 	     Bachelor 	  6
         Allen 	      Sherman 	       Intern 	   MI 	 25 	13000 	    Associate 	  1
         Clark 	      Sherman 	     Jr.Staff 	   NY 	 71 	41000 	         H.S. 	  3
       Reisman 	        Sheri 	       Intern 	   ND 	 43 	13000 	         H.S. 	  2
        Morris 	       Shelly 	     Jr.Staff 	   GA 	 57 	47000 	       Master 	  5
        Wright 	       Shelly 	        Staff 	   VT 	 43 	75000 	       Master 	  6
          Ward 	      Shelley 	        Staff 	   CO 	 21 	76000 	       Master 	  7
       Jackson 	       Shelby 	     Jr.Staff 	   NY 	 48 	49000 	         H.S. 	  8
      Robinson 	      Sheadon 	        Staff 	   WA 	 37 	66000 	       Master 	 11
       Beekman 	       Shayna 	     Director 	   AR 	 29 	217000 	        Ph.D. 	 10
        Jensen 	       Shayla 	        Staff 	   PA 	 32 	79000 	     Bachelor 	  4
      Palacios 	       Shayla 	        Staff 	   MT 	 20 	108000 	       Master 	  2
     Pritchard 	        Shawn 	     Jr.Staff 	   AZ 	 44 	39000 	     Bachelor 	  2
     Pritchett 	        Shawn 	        Staff 	   CO 	 19 	87000 	       Master 	  2
        Dorman 	        Shawn 	       Intern 	   NY 	 60 	17000 	         H.S. 	  1
     Chavarria 	        Shawn 	        Staff 	   ID 	 46 	98000 	       Master 	  7
        Martin 	         Shaw 	        Staff 	   OH 	 47 	103000 	       Master 	  2
          Hill 	         Shaw 	        Staff 	   CA 	 44 	83000 	       Master 	  6
       Roberts 	         Shaw 	     Jr.Staff 	   CO 	 36 	48000 	       Master 	  8
        Peretz 	      Sharbal 	     Jr.Staff 	   ND 	 77 	49000 	       Master 	  5
         Gabai 	      Sharbal 	     Jr.Staff 	   ND 	 61 	46000 	       Master 	  5
       Carrier 	        Shane 	       Intern 	   CA 	 29 	17000 	    Associate 	  1
         Knapp 	        Shane 	      Manager 	   PA 	 62 	169000 	     Bachelor 	 12
          Sena 	       Severo 	     Jr.Staff 	   PA 	 20 	56000 	     Bachelor 	  2
      Masolino 	       Severo 	        Staff 	   NY 	 39 	81000 	       Master 	  6
          Acre 	       Serina 	        Staff 	   WY 	 30 	66000 	       Master 	  7
      Jaworski 	    September 	        Staff 	   NY 	 77 	109000 	     Bachelor 	  6
      Bonamoni 	    Sempronia 	     Jr.Staff 	   MI 	 64 	41000 	         H.S. 	  6
       Gordini 	    Sempronia 	     Jr.Staff 	   MN 	 38 	39000 	     Bachelor 	 10
         Smith 	       Selina 	       Intern 	   WI 	 23 	31000 	     Bachelor 	  1
        Clarke 	       Selina 	     Jr.Staff 	   CT 	 26 	38000 	    Associate 	 11
         Patel 	       Selina 	        Staff 	   ND 	 38 	69000 	       Master 	 10
      Williams 	       Selina 	     Jr.Staff 	   GA 	 19 	47000 	       Master 	  2
           Lee 	       Selina 	     Jr.Staff 	   CO 	 73 	36000 	         H.S. 	 10
        Branch 	       Selena 	        Staff 	   CO 	 47 	103000 	       Master 	  4
         Thrun 	    Sebastian 	     Director 	   CA 	 53 	750000 	        Ph.D. 	 26
      Robinson 	    Sebastian 	     Jr.Staff 	   CT 	 49 	37000 	     Bachelor 	 10
         Bates 	    Sebastian 	        Staff 	   UT 	 25 	97000 	       Master 	  6
        Turner 	    Sebastian 	        Staff 	   MI 	 56 	64000 	     Bachelor 	  1
        Tanner 	    Sebastian 	        Staff 	   PA 	 52 	88000 	       Master 	 10
          Gary 	         Sean 	        Staff 	   NJ 	 56 	108000 	       Master 	  4
       Plummer 	         Sean 	     Jr.Staff 	   VT 	 46 	41000 	         H.S. 	  1
          Cary 	        Scott 	     Jr.Staff 	   WY 	 35 	41000 	         H.S. 	  4
     Pemberton 	        Scott 	        Staff 	   IL 	 29 	96000 	     Bachelor 	  1
         Otero 	       Sawyer 	     Jr.Staff 	   SC 	 35 	47000 	       Master 	  5
        Oliver 	      Savanna 	       Intern 	   CA 	 38 	26000 	     Bachelor 	  2
        Elliot 	      Savanna 	        Staff 	   NY 	 59 	79000 	     Bachelor 	  1
       Klopfer 	    Saturnina 	        Staff 	   GA 	 62 	88000 	       Master 	  8
       Lindsay 	        Sasha 	       Intern 	   CA 	 64 	31000 	     Bachelor 	  1
         Dahan 	        Sarah 	        Staff 	   MN 	 25 	89000 	       Master 	  6
       Shapira 	        Sarah 	       Intern 	   CO 	 38 	33000 	         H.S. 	  1
        Turner 	        Sarah 	     Jr.Staff 	   CA 	 34 	43000 	     Bachelor 	  4
        Taylor 	        Sarah 	        Staff 	   MA 	 57 	77000 	       Master 	  4
       Makinen 	         Sara 	        Staff 	   NY 	 23 	94000 	       Master 	  5
      Nieminen 	         Sara 	     Jr.Staff 	   CT 	 26 	36000 	         H.S. 	  5
       Inzaghi 	         Sara 	       Intern 	   GA 	 78 	25000 	    Associate 	  1
        Hansen 	         Sara 	        Staff 	   PA 	 58 	76000 	       Master 	  5
   Johannessen 	         Sara 	     Jr.Staff 	   TX 	 25 	52000 	     Bachelor 	  6
        Canney 	        Santo 	       Intern 	   MD 	 58 	22000 	    Associate 	  1
          Berg 	     Santiago 	     Jr.Staff 	   MD 	 62 	54000 	     Bachelor 	  6
          Jung 	     Santiago 	       Intern 	   MT 	 68 	19000 	         H.S. 	  1
          Shah 	     Santiago 	        Staff 	   WY 	 70 	64000 	     Bachelor 	  3
       Novotny 	       Sandra 	       Intern 	   TX 	 73 	31000 	         H.S. 	  2
           Gal 	       Sander 	        Staff 	   TX 	 26 	68000 	       Master 	  8
        Scotto 	      Samuele 	     Sr.Staff 	   ND 	 63 	110000 	       Master 	  9
          King 	       Samuel 	        Staff 	   UT 	 31 	79000 	       Master 	  6
        Morgan 	     Samantha 	        Staff 	   NM 	 70 	83000 	       Master 	  3
      Harrison 	     Samantha 	       Intern 	   MA 	 36 	22000 	     Bachelor 	  1
       Hidalgo 	      Sabrina 	     Jr.Staff 	   NY 	 67 	50000 	     Bachelor 	  8
        Easter 	      Sabrina 	        Staff 	   NM 	 23 	95000 	       Master 	  9
    Dillenbeck 	       Sabine 	     Jr.Staff 	   UT 	 76 	36000 	    Associate 	  5
      Donzelli 	       Sabina 	       Intern 	   ND 	 47 	31000 	         H.S. 	  1
         Ottoz 	       Sabina 	        Staff 	   MA 	 68 	79000 	     Bachelor 	  9
         Gould 	        Rylee 	       Intern 	   FL 	 44 	19000 	     Bachelor 	  1
          Mata 	        Ryder 	       Intern 	   ND 	 69 	19000 	    Associate 	  1
       Carlson 	        Ryder 	       Intern 	   DE 	 30 	14000 	         H.S. 	  1
       Howland 	        Ryder 	        Staff 	   CO 	 28 	97000 	       Master 	  9
          Knox 	         Ryan 	       Intern 	   UT 	 40 	18000 	    Associate 	  1
          King 	         Ruth 	     Jr.Staff 	   GA 	 42 	48000 	       Master 	  8
      Weisbrod 	         Russ 	        Staff 	   ID 	 22 	76000 	       Master 	 11
      Thompson 	        Rufus 	       Intern 	   UT 	 27 	23000 	       Master 	  1
        Morgan 	         Ruby 	        Staff 	   CA 	 21 	92000 	       Master 	  3
         Begay 	         Ruby 	        Staff 	   MN 	 49 	66000 	       Master 	  5
        Watson 	         Ruby 	        Staff 	   HI 	 64 	86000 	         H.S. 	  8
         James 	        Ruben 	        Staff 	   VT 	 64 	91000 	     Bachelor 	  4
        Cooper 	        Ruben 	        Staff 	   MA 	 29 	69000 	       Master 	 10
        Davies 	        Ruben 	     Jr.Staff 	   PA 	 60 	57000 	     Bachelor 	  2
   Summerville 	      Roxanne 	     Sr.Staff 	   MN 	 67 	120000 	     Bachelor 	 23
      McCarthy 	        Rowan 	        Staff 	   NY 	 28 	78000 	       Master 	  5
    Bellarmine 	       Rosina 	       Intern 	   NY 	 45 	19000 	    Associate 	  1
         Flett 	     Roseanna 	       Intern 	   MI 	 24 	22000 	     Bachelor 	  1
    Falconieri 	       Rosari 	        Staff 	   WA 	 67 	106000 	       Master 	  5
      Ardinghi 	       Rosari 	     Jr.Staff 	   NY 	 37 	48000 	       Master 	  3
         Evans 	     Rosamund 	     Jr.Staff 	   NY 	 58 	49000 	       Master 	 10
         Huges 	     Rosamund 	        Staff 	   GA 	 37 	64000 	     Bachelor 	 11
        Davies 	     Rosamund 	     Jr.Staff 	   WI 	 35 	54000 	     Bachelor 	  3
      Gardella 	    Rosamonda 	        Staff 	   NV 	 73 	64000 	     Bachelor 	  9
         Dahan 	         Roni 	     Jr.Staff 	   CA 	 60 	48000 	       Master 	 11
         Hadad 	         Roni 	       Intern 	   GA 	 73 	31000 	     Bachelor 	  1
        Peretz 	         Roni 	        Staff 	   MA 	 35 	87000 	       Master 	  8
        Pedane 	       Romolo 	       Intern 	   MT 	 74 	15000 	     Bachelor 	  1
      Forsythe 	        Roman 	       Intern 	   PA 	 31 	16000 	    Associate 	  1
      Blansett 	      Rolland 	     Jr.Staff 	   OH 	 37 	58000 	     Bachelor 	  5
           Tal 	          Roi 	        Staff 	   MT 	 53 	78000 	       Master 	  3
        Thomas 	        Roger 	       Intern 	   TX 	 26 	24000 	       Master 	  1
        Oneill 	      Rodrigo 	       Intern 	   CT 	 31 	35000 	         H.S. 	  2
